anio,trimestre,entidad,poblacion_total,pea,ocupados,desocupados,tasa_actividad,tasa_empleo,tasa_desocupacion
2026,1,Bahia Blanca - Cerri,323879,158231,142212,16019,48.9,43.9,10.1
2026,1,Cdro. Rivadavia - R.Tilly,261534,108453,105531,2922,41.5,40.4,2.7
2026,1,Ciudad de Buenos Aires,3005781,1604887,1528176,76711,53.4,50.8,4.8
2026,1,Concordia,166985,70696,66415,4281,42.3,39.8,6.1
2026,1,Corrientes,396170,178506,167805,10701,45.1,42.4,6
2026,1,Formosa,267163,118246,107958,10288,44.3,40.4,8.7
2026,1,Gran Catamarca,236275,109210,103889,5321,46.2,44,4.9
2026,1,Gran Cordoba,1615624,842473,768283,74190,52.1,47.6,8.8
2026,1,Gran La Plata,949209,474139,436929,37210,50,46,7.8
2026,1,Gran Mendoza,1068949,517114,479237,37877,48.4,44.8,7.3
2026,1,Gran Parana,288930,130025,121545,8480,45,42.1,6.5
2026,1,Gran Resistencia,428893,194551,175708,18843,45.4,41,9.7
2026,1,Gran Rosario,1365909,709050,650714,58336,51.9,47.6,8.2
2026,1,Gran San Juan,561926,271861,263485,8376,48.4,46.9,3.1
2026,1,Gran Santa Fe,557217,246359,230374,15985,44.2,41.3,6.5
2026,1,Gran Tucuman - T. Viejo,932646,441394,410204,31190,47.3,44,7.1
2026,1,Jujuy - Palpala,364808,181894,178238,3656,49.9,48.9,2
2026,1,La Rioja,242100,117338,110233,7105,48.5,45.5,6.1
2026,1,Mar del Plata - Batan,672431,347987,315643,32344,51.8,46.9,9.3
2026,1,Neuquen - Plottier,328800,156730,150988,5742,47.7,45.9,3.7
2026,1,Partidos del GBA,13229175,6355782,5741249,614533,48,43.4,9.7
2026,1,Posadas,396305,184292,175573,8719,46.5,44.3,4.7
2026,1,Rawson - Trelew,154080,66579,61883,4696,43.2,40.2,7.1
2026,1,Rio Cuarto,184944,88403,83420,4983,47.8,45.1,5.6
2026,1,Rio Gallegos,134816,65137,59600,5537,48.3,44.2,8.5
2026,1,S. del Estero - La Banda,421831,179877,178620,1257,42.6,42.3,0.7
2026,1,Salta,677442,309506,292892,16614,45.7,43.2,5.4
2026,1,San Luis - El Chorrillo,255140,111477,108512,2965,43.7,42.5,2.7
2026,1,San Nicolas - Villa Constitucion,200954,87910,78786,9124,43.7,39.2,10.4
2026,1,Santa Rosa - Toay,134333,66479,63151,3328,49.5,47,5
2026,1,Total pais,30095103,14616218,13471636,1144582,48.6,44.8,7.8
2026,1,Ushuaia - Rio Grande,183656,86498,80004,6494,47.1,43.6,7.5
2026,1,Viedma - Carmen de Patagones.,87198,35134,34379,755,40.3,39.4,2.1
